name_country	user_cnt	age_avg	men_cnt	women_cnt	men_share	women_share
Россия	3335808	37.54	1252716	2083092	0.38	0.62
Украина	843680	38.6	252132	591548	0.3	0.7
Беларусь	152167	36.84	46828	105339	0.31	0.69
Казахстан	147144	38.7	46653	100491	0.32	0.68
Азербайджан	130537	31.3	110039	20498	0.84	0.16
Грузия	118147	36.51	64222	53925	0.54	0.46
Таджикистан	84599	29.09	70083	14516	0.83	0.17
Кыргызстан	83021	29.78	39998	43023	0.48	0.52
Израиль	17535	46.43	6697	10838	0.38	0.62
Франция	12449	37.4	5689	6760	0.46	0.54
О.А.Э.	11253	36.73	7411	3842	0.66	0.34
Греция	10900	44.37	4163	6737	0.38	0.62
Южная Корея	5926	32.68	3936	1990	0.66	0.34
Эстония	5196	41.68	1785	3411	0.34	0.66
Канада	4443	41.83	2021	2422	0.45	0.55
Португалия	4008	38.99	2084	1924	0.52	0.48
Румыния	3705	34.51	1538	2167	0.42	0.58
Австралия	3473	40.36	1775	1698	0.51	0.49
Польша	3304	39.91	1284	2020	0.39	0.61
Швейцария	2402	40.02	1199	1203	0.5	0.5
Бельгия	2269	40.75	1078	1191	0.48	0.52
Мальдивские о-ва	1687	40.51	683	1004	0.4	0.6
Швеция	1604	39.91	823	781	0.51	0.49
Мадагаскар	1603	39.91	948	655	0.59	0.41
Куба	1160	41.87	848	312	0.73	0.27
Малайзия	1132	33.54	707	425	0.62	0.38
Иран	1089	35.27	836	253	0.77	0.23
Финляндия	1083	42.34	529	554	0.49	0.51
Дания	903	38.37	455	448	0.5	0.5
Норвегия	896	40.84	444	452	0.5	0.5
Албания	893	40.15	571	322	0.64	0.36
Фиджи	823	42.39	410	413	0.5	0.5
Бермуды	817	47.34	393	424	0.48	0.52
Гондурас	789	50.5	535	254	0.68	0.32
Антильские о-ва	768	45.31	393	375	0.51	0.49
Британские Виргинские о-ва	722	37.87	488	234	0.68	0.32
Ангуилья	709	39.67	462	247	0.65	0.35
Ирак	667	37.69	578	89	0.87	0.13
Валлис и Футуна о-ва	667	42.67	398	269	0.6	0.4
Андорра	604	41.86	315	289	0.52	0.48
Коста-Рика	579	39.58	338	241	0.58	0.42
Французская Полинезия	577	39.09	290	287	0.5	0.5
Венесуэла	569	39.94	277	292	0.49	0.51
Зимбабве	537	46.42	349	188	0.65	0.35
Фарерские о-ва	500	42.91	288	212	0.58	0.42
Эквадор	500	43.02	306	194	0.61	0.39
Сингапур	430	37.82	218	212	0.51	0.49
Сейшеллы	430	42.22	141	289	0.33	0.67
Эфиопия	426	46.21	300	126	0.7	0.3
Филиппины	397	39.17	222	175	0.56	0.44
Мэн о-в	387	42.55	242	145	0.63	0.37
Гонконг	361	40.32	235	126	0.65	0.35
Люксембург	350	38.33	161	189	0.46	0.54
Тунис	338	38.29	179	159	0.53	0.47
Арулько	336	42.42	201	135	0.6	0.4
Мальта	314	40.98	103	211	0.33	0.67
Черногория	300	41.93	158	142	0.53	0.47
Кука о-ва	291	45.76	182	109	0.63	0.37
Мозамбик	286	45.04	202	84	0.71	0.29
Бахрейн	274	44.58	165	109	0.6	0.4
Западная Сахара	263	45.58	171	92	0.65	0.35
Лихтенштейн	261	38.65	167	94	0.64	0.36
Сан-Томе и Принсипи	253	39.81	171	82	0.68	0.32
Уганда	253	44.88	165	88	0.65	0.35
Исландия	250	40.32	138	112	0.55	0.45
Конго (Brazzaville)	245	40.99	168	77	0.69	0.31
Тринидад и Тобаго	245	47.39	151	94	0.62	0.38
Лаос	239	38.4	127	112	0.53	0.47
Кабо-Верде	238	44.24	146	92	0.61	0.39
Мали	234	42.23	106	128	0.45	0.55
Словакия	227	44.87	92	135	0.41	0.59
Нигер	224	43.64	169	55	0.75	0.25
Камбоджа	217	43.89	133	84	0.61	0.39
Эритрея	215	49.56	111	104	0.52	0.48
Тайвань	207	40.92	128	79	0.62	0.38
Македония	204	39.42	136	68	0.67	0.33
Гвинея	179	39.66	92	87	0.51	0.49
Никарагуа	179	44.92	116	63	0.65	0.35
Ливия	174	39.51	111	63	0.64	0.36
Оман	174	39.1	111	63	0.64	0.36
Замбия	172	44.88	104	68	0.6	0.4
Кувейт	171	39.82	109	62	0.64	0.36
Токелау о-ва	169	43.45	104	65	0.62	0.38
Словения	163	41.6	52	111	0.32	0.68
Гвинея-Бисау	160	46.04	94	66	0.59	0.41
Конго (Kinshasa)	159	40.94	115	44	0.72	0.28
Йемен	155	41.94	94	61	0.61	0.39
Габон	150	45.63	80	70	0.53	0.47
Вануату	141	43.52	90	51	0.64	0.36
Реюньон	134	47.31	72	62	0.54	0.46
Гайана	134	45.6	73	61	0.54	0.46
Бруней	133	42.87	84	49	0.63	0.37
Гернси о-в	126	45.83	73	53	0.58	0.42
Боливия	126	45.71	75	51	0.6	0.4
Лесото	124	40.55	75	49	0.6	0.4
